date,total_volume_usdt
2025-01-24,60828509.89048815
2025-01-25,59677557.67344758
2025-01-26,118076448.01920098
2025-01-27,88427042.79230827
2025-01-28,61340615.181763045
2025-01-29,65905942.5774718
2025-01-30,59541901.16495194
2025-01-31,42764964.59723801
2025-02-01,59360667.668094195
2025-02-02,144196844.69478425
2025-02-03,128461051.45403434
2025-02-04,72275641.32561016
2025-02-05,59576598.944378436
2025-02-06,67430198.99594526
2025-02-07,49154921.43075246
2025-02-08,52367534.31636464
2025-02-09,71624390.40421198
2025-02-10,57132862.58640078
2025-02-11,62044874.58833489
2025-02-12,67371752.8678176
2025-02-13,76740651.38042422
2025-02-14,55385331.50486319
2025-02-15,71598382.97080792
2025-02-16,154942593.3985201
2025-02-17,91041790.41879879
2025-02-18,85581281.78874598
2025-02-19,133353028.8008552
2025-02-20,105050743.39600219
2025-02-21,83702904.3356609
2025-02-22,125405069.5495541
2025-02-23,181485281.30714595
2025-02-24,313704711.9938779
2025-02-25,146516663.30710706
2025-02-26,300284895.17314374
2025-02-27,170027216.9279866
2025-02-28,184421145.88285998
2025-03-01,222541753.81161606
2025-03-02,191459326.8915787
2025-03-03,82862672.70016783
2025-03-04,78082902.46611302
2025-03-05,96981346.0342735
2025-03-06,121995067.51244518
2025-03-07,56854741.13949878
2025-03-08,139584095.28712887
2025-03-09,221608309.06838328
2025-03-10,124850582.74754015
2025-03-11,68549695.37427782
2025-03-12,77710019.00824909
2025-03-13,65077150.825267695
2025-03-14,51420778.56512174
2025-03-15,58987069.81047982
2025-03-16,51661962.519942604
2025-03-17,44172019.47130221
2025-03-18,49570157.93697564
2025-03-19,50631497.97584438
2025-03-20,124716570.89218251
2025-03-21,39828020.98520002
2025-03-22,40263882.9310287
2025-03-23,44647462.42032561
2025-03-24,38533092.63550418
2025-03-25,38795342.66482298
2025-03-26,48374420.77380543
2025-03-27,54670518.296711266
2025-03-28,34051352.34511005
2025-03-29,34048091.19173297
2025-03-30,69528989.22036442
2025-03-31,42293165.32785718
2025-04-01,50760303.43914742
2025-04-02,37302290.208792016
2025-04-03,53687728.88197377
2025-04-04,38138065.5541531
2025-04-05,42320989.06867814
2025-04-06,78562537.09449089
2025-04-07,67501575.19988126
2025-04-08,51800566.4088884
2025-04-09,50454962.89277205
2025-04-10,39530604.01211247
2025-04-11,34744752.17718616
2025-04-12,39817723.413939215
2025-04-13,38272098.38932855
2025-04-14,44504323.9406521
2025-04-15,52476026.774473846
2025-04-16,38577523.55719811
2025-04-17,31457856.819280595
2025-04-18,37527403.22230976
2025-04-19,43291897.0719537
2025-04-20,55791949.40104327
2025-04-21,61558878.30332048
2025-04-22,68174234.87962009
