date,active_instances
2025-01-24,660
2025-01-25,684
2025-01-26,707
2025-01-27,687
2025-01-28,671
2025-01-29,690
2025-01-30,671
2025-01-31,653
2025-02-01,691
2025-02-02,742
2025-02-03,725
2025-02-04,784
2025-02-05,828
2025-02-06,767
2025-02-07,655
2025-02-08,685
2025-02-09,736
2025-02-10,794
2025-02-11,738
2025-02-12,718
2025-02-13,719
2025-02-14,665
2025-02-15,611
2025-02-16,773
2025-02-17,792
2025-02-18,768
2025-02-19,730
2025-02-20,774
2025-02-21,689
2025-02-22,670
2025-02-23,761
2025-02-24,866
2025-02-25,874
2025-02-26,830
2025-02-27,797
2025-02-28,718
2025-03-01,767
2025-03-02,820
2025-03-03,807
2025-03-04,783
2025-03-05,753
2025-03-06,806
2025-03-07,699
2025-03-08,769
2025-03-09,896
2025-03-10,829
2025-03-11,827
2025-03-12,765
2025-03-13,725
2025-03-14,657
2025-03-15,684
2025-03-16,761
2025-03-17,782
2025-03-18,831
2025-03-19,776
2025-03-20,764
2025-03-21,693
2025-03-22,699
2025-03-23,847
2025-03-24,841
2025-03-25,829
2025-03-26,766
2025-03-27,828
2025-03-28,737
2025-03-29,758
2025-03-30,773
2025-03-31,756
2025-04-01,800
2025-04-02,776
2025-04-03,805
2025-04-04,714
2025-04-05,795
2025-04-06,880
2025-04-07,803
2025-04-08,885
2025-04-09,883
2025-04-10,814
2025-04-11,770
2025-04-12,739
2025-04-13,732
2025-04-14,733
2025-04-15,734
2025-04-16,765
2025-04-17,787
2025-04-18,721
2025-04-19,741
2025-04-20,843
2025-04-21,872
2025-04-22,854
2025-04-23,840
2025-04-24,817
2025-04-25,763
2025-04-26,755
2025-04-27,834
2025-04-28,777
2025-04-29,879
2025-04-30,822
2025-05-01,803
2025-05-02,694
2025-05-03,671
2025-05-04,761
2025-05-05,842
2025-05-06,812
2025-05-07,854
2025-05-08,826
2025-05-09,755
2025-05-10,730
2025-05-11,831
2025-05-12,833
2025-05-13,784
2025-05-14,807
2025-05-15,774
2025-05-16,724
2025-05-17,753
2025-05-18,809
2025-05-19,766
2025-05-20,841
2025-05-21,898
2025-05-22,935
2025-05-23,745
2025-05-24,760
2025-05-25,909
2025-05-26,947
2025-05-27,946
2025-05-28,966
2025-05-29,1004
2025-05-30,905
2025-05-31,834
2025-06-01,907
2025-06-02,978
2025-06-03,980
2025-06-04,971
2025-06-05,841
2025-06-06,700
2025-06-07,707
2025-06-08,889
2025-06-09,886
2025-06-10,882
2025-06-11,830
2025-06-12,979
2025-06-13,735
2025-06-14,751
2025-06-15,858
2025-06-16,735
2025-06-17,700
2025-06-18,662
2025-06-19,772
2025-06-20,630
2025-06-21,759
2025-06-22,809
2025-06-23,683
2025-06-24,782
2025-06-25,671
2025-06-26,669
2025-06-27,623
2025-06-28,620
2025-06-29,717
2025-06-30,670
2025-07-01,785
2025-07-02,646
2025-07-03,680
2025-07-04,596
2025-07-05,651
2025-07-06,641
2025-07-07,655
2025-07-08,737
2025-07-09,712
2025-07-10,786
2025-07-11,672
2025-07-12,655
2025-07-13,749
2025-07-14,742
2025-07-15,883
2025-07-16,763
2025-07-17,729
2025-07-18,665
2025-07-19,703
2025-07-20,738
2025-07-21,799
2025-07-22,773
2025-07-23,797
2025-07-24,772
2025-07-25,689
2025-07-26,671
2025-07-27,1396
2025-07-28,2200
2025-07-29,2011
2025-07-30,818
2025-07-31,838
2025-08-01,728
2025-08-02,696
2025-08-03,905
2025-08-04,837
2025-08-05,1127
2025-08-06,1069
2025-08-07,884
2025-08-08,826
2025-08-09,813
2025-08-10,1336
2025-08-11,1153
2025-08-12,974
2025-08-13,1171
2025-08-14,959
2025-08-15,792
2025-08-16,780
2025-08-17,975
2025-08-18,1127
2025-08-19,1061
2025-08-20,960
2025-08-21,883
2025-08-22,811
2025-08-23,927
2025-08-24,996
2025-08-25,892
2025-08-26,981
2025-08-27,877
2025-08-28,1051
2025-08-29,845
2025-08-30,783
2025-08-31,1118
2025-09-01,1105
2025-09-02,829
2025-09-03,973
2025-09-04,1002
2025-09-05,895
2025-09-06,853
2025-09-07,1038
2025-09-08,1091
2025-09-09,1091
2025-09-10,1203
2025-09-11,929
2025-09-12,985
2025-09-13,1030
2025-09-14,878
2025-09-15,1016
2025-09-16,915
2025-09-17,941
2025-09-18,989
2025-09-19,829
2025-09-20,971
2025-09-21,1405
2025-09-22,1240
2025-09-23,1185
2025-09-24,1089
2025-09-25,1391
2025-09-26,863
2025-09-27,944
2025-09-28,1034
