date,version,volume_usdt
2025-01-24,0.7.0-pro,1164.581090903
2025-01-24,1.1.1.lqs,2451.4469600000007
2025-01-24,1.1.12_dev,281.0066523728148
2025-01-24,1.1.23.lqs,372759.245696446
2025-01-24,1.1.24.lqs,163315.55517954146
2025-01-24,1.1.25.lqs,39142.34811801219
2025-01-24,1.10.0,1462.8126971
2025-01-24,1.12.0,3639246.494166539
2025-01-24,1.13.0,214163.43895468992
2025-01-24,1.14.0,8258156.709252389
2025-01-24,1.15.0,4429.52575106
2025-01-24,1.17.0,2277.42765
2025-01-24,1.18.0,4468.299999999999
2025-01-24,1.19.0,1206057.546399645
2025-01-24,1.2.0,1171292.4870311997
2025-01-24,1.20.0,3408.676717948
2025-01-24,1.21.0,177938.13435966
2025-01-24,1.22.0,2965723.9780653557
2025-01-24,1.23.0,31358979.665550064
2025-01-24,1.24.0,407571.11640641006
2025-01-24,1.25.0,18830.0936958
2025-01-24,1.26.0,10629.27967952904
2025-01-24,1.27.0,229007.62591583695
2025-01-24,1.28.0,756374.6745844646
2025-01-24,1.4.0.2,212586.37119983952
2025-01-24,1.7.0,1287416.8057509104
2025-01-24,2.0.0,68121.52777062931
2025-01-24,2.0.1,1034043.5953960774
2025-01-24,2.1.0,5025791.176193099
2025-01-24,2.2.0,1268103.5245081333
2025-01-24,dev-1.27.0,9751.956091113103
2025-01-24,dev-1.28.0,48403.45588456
2025-01-24,dev-1.29.0,55778.391315869994
2025-01-24,dev-2.0.1,213544.04183534678
2025-01-24,dev-2.0.2,21842.515997086266
2025-01-24,dev-2.2.0,3136.5421489074997
2025-01-24,dev-2.3.0,126936.02391281215
2025-01-24,unknown,443921.79190879356
2025-01-25,0.7.0-pro,999.2294137809998
2025-01-25,1.1.1.lqs,2282.95866
2025-01-25,1.1.12_dev,73.6044402
2025-01-25,1.1.18.lqs,0.9992698567208966
2025-01-25,1.1.23.lqs,354438.522008021
2025-01-25,1.1.24.lqs,127543.7384556446
2025-01-25,1.1.25.lqs,58788.008718300276
2025-01-25,1.10.0,2394.8665019999994
2025-01-25,1.12.0,4784800.822459287
2025-01-25,1.13.0,197019.26419195
2025-01-25,1.14.0,0.240062398
2025-01-25,1.15.0,3091.93570044
2025-01-25,1.17.0,22479.12508
2025-01-25,1.18.0,18836.51
2025-01-25,1.19.0,645162.4926452356
2025-01-25,1.2.0,848553.7187938
2025-01-25,1.20.0,790.5569947817
2025-01-25,1.21.0,36190.154825176
2025-01-25,1.22.0,3323081.4842676097
2025-01-25,1.23.0,30294939.381551404
2025-01-25,1.24.0,324005.91234164004
2025-01-25,1.25.0,30237.302563080008
2025-01-25,1.26.0,2138.516122688528
2025-01-25,1.27.0,187269.68129385976
2025-01-25,1.28.0,603278.8460097306
2025-01-25,1.4.0.2,204237.81359586265
2025-01-25,1.7.0,2403194.1195685784
2025-01-25,2.0.0,78007.96069002133
2025-01-25,2.0.1,4388916.438991623
2025-01-25,2.1.0,7076511.339681229
2025-01-25,2.2.0,2680371.1986987293
2025-01-25,dev-1.24.0,30.45487
2025-01-25,dev-1.27.0,6683.693000539665
2025-01-25,dev-1.28.0,38251.71074683999
2025-01-25,dev-1.29.0,51605.35307273
2025-01-25,dev-2.0.1,213805.212500684
2025-01-25,dev-2.0.2,19179.19608857294
2025-01-25,dev-2.2.0,6233.6383206969995
2025-01-25,dev-2.3.0,145626.3968514373
2025-01-25,unknown,496505.2743992
2025-01-26,0.7.0-pro,410.80999866599996
2025-01-26,1.1.12_dev,1594.4951540500902
2025-01-26,1.1.18.lqs,0.9750903149540777
2025-01-26,1.1.23.lqs,350356.10498340003
2025-01-26,1.1.24.lqs,157851.8934604513
2025-01-26,1.1.25.lqs,55819.192563988974
2025-01-26,1.10.0,193.80295
2025-01-26,1.12.0,9850858.038193608
2025-01-26,1.13.0,183837.84426361998
2025-01-26,1.14.0,33816792.05835331
2025-01-26,1.15.0,1246.52391677
2025-01-26,1.17.0,44266.29862
2025-01-26,1.18.0,24064.500000000004
2025-01-26,1.19.0,6400075.659312163
2025-01-26,1.2.0,2147021.8518899004
2025-01-26,1.20.0,1956.3192395521
2025-01-26,1.21.0,147070.511430738
2025-01-26,1.22.0,10778213.698575785
2025-01-26,1.23.0,25112703.066415835
2025-01-26,1.24.0,395391.48080595
2025-01-26,1.25.0,36760.43550055001
2025-01-26,1.26.0,8985.52066704182
2025-01-26,1.27.0,245978.40264348444
2025-01-26,1.28.0,603962.525222069
2025-01-26,1.4.0.2,169812.6673180273
2025-01-26,1.7.0,3818984.8691121633
2025-01-26,2.0.0,248009.71844939093
2025-01-26,2.0.1,10271542.631570213
2025-01-26,2.1.0,9553453.114236683
2025-01-26,2.2.0,2383237.6240645233
2025-01-26,dev-1.24.0,138.18991
2025-01-26,dev-1.27.0,2808.11995691
2025-01-26,dev-1.28.0,38843.08786752
2025-01-26,dev-1.29.0,50997.05459676
2025-01-26,dev-2.0.1,272254.65396378457
2025-01-26,dev-2.0.2,28398.21666047009
2025-01-26,dev-2.2.0,11754.5987162575
2025-01-26,dev-2.3.0,389106.9194022592
2025-01-26,unknown,471694.5441247752
2025-01-27,0.7.0-pro,229.48114767900003
2025-01-27,1.1.1.lqs,860.12798
2025-01-27,1.1.12_dev,7359.971856410065
2025-01-27,1.1.23.lqs,353569.506586489
2025-01-27,1.1.24.lqs,112338.93123965045
2025-01-27,1.1.25.lqs,84569.89587455626
2025-01-27,1.10.0,1405.4409600000001
2025-01-27,1.12.0,5135789.341830372
2025-01-27,1.13.0,182998.5193817
2025-01-27,1.14.0,18517531.823895443
2025-01-27,1.15.0,524.9277001500001
2025-01-27,1.17.0,28302.076670000002
2025-01-27,1.18.0,3053.7000000000007
2025-01-27,1.19.0,565610.9898483278
2025-01-27,1.2.0,1568074.4398668
2025-01-27,1.20.0,2933.4817999419997
2025-01-27,1.21.0,126921.71808752403
2025-01-27,1.22.0,6005258.073483486
2025-01-27,1.23.0,28677872.275931727
2025-01-27,1.24.0,289419.24168214
2025-01-27,1.25.0,27895.214220099995
2025-01-27,1.26.0,665.9342800114001
2025-01-27,1.27.0,185815.973359143
2025-01-27,1.28.0,797604.1091678914
2025-01-27,1.4.0.2,214534.5749451204
2025-01-27,1.7.0,2616861.00935609
2025-01-27,2.0.0,107140.71830061919
2025-01-27,2.0.1,15560013.529915417
2025-01-27,2.1.0,4662204.779077617
2025-01-27,2.2.0,1413248.6386942663
2025-01-27,dev-1.24.0,290.71493
2025-01-27,dev-1.27.0,794.06034359
2025-01-27,dev-1.28.0,43493.86468934
2025-01-27,dev-1.29.0,55323.92334167001
2025-01-27,dev-2.0.1,349482.3857843236
2025-01-27,dev-2.0.2,18984.553963649607
2025-01-27,dev-2.2.0,4306.310560929701
2025-01-27,dev-2.3.0,283860.0277459986
2025-01-27,unknown,419898.5038099909
2025-01-28,0.7.0-pro,814.4192312959999
2025-01-28,1.1.12_dev,8313.974323624767
2025-01-28,1.1.23.lqs,373045.099369793
2025-01-28,1.1.24.lqs,66727.40891511862
2025-01-28,1.1.25.lqs,158377.6908688967
2025-01-28,1.10.0,4737.7665677
2025-01-28,1.12.0,5639424.345549999
2025-01-28,1.13.0,193115.38205306994
2025-01-28,1.14.0,21.082489969
2025-01-28,1.15.0,1026.8194461599999
2025-01-28,1.18.0,5827.199999999999
2025-01-28,1.19.0,343452.8865155351
2025-01-28,1.2.0,1723395.2042470996
2025-01-28,1.20.0,2491.1046775332
2025-01-28,1.21.0,168271.780006006
2025-01-28,1.22.0,5147606.120844505
2025-01-28,1.23.0,32280983.516131315
2025-01-28,1.24.0,271914.61555293
2025-01-28,1.25.0,23012.821358200003
2025-01-28,1.26.0,2602.2896863818446
2025-01-28,1.27.0,191666.2192472586
2025-01-28,1.28.0,460178.319098171
2025-01-28,1.4.0.2,213991.4057378916
2025-01-28,1.7.0,3019470.649126628
2025-01-28,2.0.0,104462.56672763413
2025-01-28,2.0.1,3491625.992695711
2025-01-28,2.1.0,4934690.489725552
2025-01-28,2.2.0,1619398.5013513428
2025-01-28,dev-1.24.0,299.8613
2025-01-28,dev-1.27.0,4204.39283363
2025-01-28,dev-1.28.0,45203.38626795
2025-01-28,dev-1.29.0,54835.97153266
2025-01-28,dev-2.0.1,239871.21554527388
2025-01-28,dev-2.0.2,20004.89883148841
2025-01-28,dev-2.2.0,16346.90154785685
2025-01-28,dev-2.3.0,213491.01900811098
2025-01-28,unknown,295711.86335086246
2025-01-29,0.7.0-pro,692.699397523
2025-01-29,1.1.12_dev,9154.680775271736
2025-01-29,1.1.18.lqs,0.991257
2025-01-29,1.1.23.lqs,380165.79713305994
2025-01-29,1.1.24.lqs,412.91190232929
2025-01-29,1.1.25.lqs,292513.2123471848
2025-01-29,1.10.0,4914.354200000001
2025-01-29,1.12.0,5044513.061809999
2025-01-29,1.13.0,178744.88561588
2025-01-29,1.14.0,5774674.670159026
2025-01-29,1.15.0,2003.94463745
2025-01-29,1.18.0,4688.92
2025-01-29,1.19.0,625959.6009123293
2025-01-29,1.2.0,1570892.4899662
2025-01-29,1.20.0,10162.651214341899
2025-01-29,1.21.0,180227.17536562998
2025-01-29,1.22.0,430923.9814841023
2025-01-29,1.23.0,31519315.841426067
2025-01-29,1.24.0,306968.0815240628
2025-01-29,1.25.0,35886.79371140001
2025-01-29,1.26.0,3546.40982381911
2025-01-29,1.27.0,182654.63737707783
2025-01-29,1.28.0,368934.79968081467
2025-01-29,1.4.0.2,181653.93150589633
2025-01-29,1.7.0,1735927.1284684977
2025-01-29,2.0.0,44914.41761972633
2025-01-29,2.0.1,9547549.613207955
2025-01-29,2.1.0,4645287.314249899
2025-01-29,2.2.0,1570116.8707737625
2025-01-29,dev-1.24.0,160.57674
2025-01-29,dev-1.27.0,10647.675166930001
2025-01-29,dev-1.28.0,40057.48533387
2025-01-29,dev-1.29.0,52372.65372298001
2025-01-29,dev-2.0.1,146274.51708682836
2025-01-29,dev-2.0.2,10795.701486350205
2025-01-29,dev-2.2.0,49022.05913088529
2025-01-29,dev-2.3.0,190738.80634652922
2025-01-29,unknown,752471.2349111108
2025-01-30,0.7.0-pro,1196.7927261559998
2025-01-30,1.1.12_dev,15060.691202091086
2025-01-30,1.1.23.lqs,369320.7141547471
2025-01-30,1.1.24.lqs,1881.55095491102
2025-01-30,1.1.25.lqs,213837.59348445683
2025-01-30,1.10.0,4011.3881699999997
2025-01-30,1.12.0,5337215.47461
2025-01-30,1.13.0,196255.98802602
2025-01-30,1.14.0,4784140.934224836
2025-01-30,1.15.0,3332.39253878
2025-01-30,1.18.0,1218.61
2025-01-30,1.19.0,803504.5326489797
2025-01-30,1.2.0,1554266.1850648
2025-01-30,1.20.0,631.0432351511
2025-01-30,1.21.0,114995.62463924602
2025-01-30,1.22.0,177941.018925723
2025-01-30,1.23.0,28687764.300544817
2025-01-30,1.24.0,265916.23395578
2025-01-30,1.25.0,28730.752614320005
2025-01-30,1.26.0,2781.5637343226776
2025-01-30,1.27.0,177667.74517341456
2025-01-30,1.28.0,726038.824287228
2025-01-30,1.4.0.2,154339.8916362191
2025-01-30,1.7.0,2141687.782809167
2025-01-30,2.0.0,56247.199210035
2025-01-30,2.0.1,2110572.1268597795
2025-01-30,2.1.0,6186321.202392353
2025-01-30,2.2.0,4370111.865445773
2025-01-30,dev-1.24.0,97.62638
2025-01-30,dev-1.27.0,169.77829343999997
2025-01-30,dev-1.28.0,37123.294066689996
2025-01-30,dev-1.29.0,44920.40774912001
2025-01-30,dev-2.0.1,217370.7430306981
2025-01-30,dev-2.0.2,8000.21360858715
2025-01-30,dev-2.2.0,5820.52595092485
2025-01-30,dev-2.3.0,239530.15204775392
2025-01-30,unknown,501878.40055569727
2025-01-31,0.7.0-pro,893.9579290960002
2025-01-31,1.1.12_dev,7761.664412587783
2025-01-31,1.1.18.lqs,8.328555999999999
2025-01-31,1.1.23.lqs,360742.94581623806
2025-01-31,1.1.25.lqs,142842.1341838246
2025-01-31,1.10.0,5052.750676
2025-01-31,1.12.0,4971473.24342
2025-01-31,1.13.0,190070.63929707996
2025-01-31,1.14.0,569.210962787
2025-01-31,1.15.0,2544.45605101
2025-01-31,1.18.0,7310.040000000001
2025-01-31,1.19.0,1309856.0379555086
2025-01-31,1.2.0,884863.8795299
2025-01-31,1.20.0,198.2180780264
2025-01-31,1.21.0,158405.20832540002
2025-01-31,1.22.0,111367.15206373617
2025-01-31,1.23.0,23228803.781669464
2025-01-31,1.24.0,269698.74418015004
2025-01-31,1.25.0,31132.1792897
2025-01-31,1.26.0,439.95255013971797
2025-01-31,1.27.0,161329.8300706311
2025-01-31,1.28.0,532588.8581281719
2025-01-31,1.4.0.2,74237.2559900077
2025-01-31,1.7.0,2208350.9391984977
2025-01-31,2.0.0,57648.79134898445
2025-01-31,2.0.1,1368369.6519210571
2025-01-31,2.1.0,4665161.288946604
2025-01-31,2.2.0,1393058.4531731806
2025-01-31,dev-1.27.0,159.53909415
2025-01-31,dev-1.28.0,34005.01664169
2025-01-31,dev-1.29.0,38655.75723037001
2025-01-31,dev-2.0.1,202932.5444773273
2025-01-31,dev-2.0.2,21833.040336943013
2025-01-31,dev-2.2.0,20740.247413913603
2025-01-31,dev-2.3.0,164891.43856432728
2025-01-31,unknown,136967.41975545965
2025-02-01,1.1.12_dev,7357.593271276
2025-02-01,1.1.18.lqs,5.016969
2025-02-01,1.1.23.lqs,368110.255266587
2025-02-01,1.1.24.lqs,242.3108508090491
2025-02-01,1.1.25.lqs,220737.53732876843
2025-02-01,1.10.0,10305.8704938
2025-02-01,1.12.0,9304337.397322597
2025-02-01,1.13.0,173197.52126842996
2025-02-01,1.14.0,8110165.703346637
2025-02-01,1.15.0,3073.7729956000003
2025-02-01,1.18.0,7840.81
2025-02-01,1.19.0,3612060.3932682807
2025-02-01,1.2.0,628944.7474202999
2025-02-01,1.20.0,91.310998361
2025-02-01,1.21.0,225157.38025486993
2025-02-01,1.22.0,371976.0047854505
2025-02-01,1.23.0,18072586.396695714
2025-02-01,1.24.0,400216.75985651
2025-02-01,1.25.0,33387.07044484
2025-02-01,1.26.0,2647.582386196892
2025-02-01,1.27.0,147774.1462276674
2025-02-01,1.28.0,589381.2043874031
2025-02-01,1.4.0.2,102369.2008299838
2025-02-01,1.7.0,1200597.6621762146
2025-02-01,2.0.0,28231.505895708266
2025-02-01,2.0.1,1639838.2155966912
2025-02-01,2.1.0,9177128.243865134
2025-02-01,2.2.0,3729170.124318404
2025-02-01,dev-1.24.0,2.80479
2025-02-01,dev-1.27.0,756.0783998715
2025-02-01,dev-1.28.0,36951.3450287
2025-02-01,dev-1.29.0,39378.57754925
2025-02-01,dev-2.0.1,155768.8721755171
2025-02-01,dev-2.0.2,30004.50531895415
